iteration,train_ndcg@2,validation_ndcg@2
1.0,0.4274725973503614,0.3343864026779781
2.0,0.4360109885799556,0.3486973178647568
3.0,0.4428764594624444,0.35797634077977547
4.0,0.4453310301475594,0.3593156660770273
5.0,0.44866735222129567,0.3620432095890645
6.0,0.45076512251209,0.36538819563562824
7.0,0.45670492316269107,0.36626158609618503
8.0,0.45651560235570754,0.3670432909761811
9.0,0.4556482459927718,0.3665740363796215
10.0,0.46072624197109935,0.36754635225491494
11.0,0.45877225216551076,0.366080294722429
12.0,0.45801907295249933,0.36779277633031304
13.0,0.4651762721308466,0.3667733019431313
14.0,0.4669963427718932,0.37117930212929323
15.0,0.4679095755213784,0.3680641757829068
16.0,0.4655689606796574,0.3739049460510934
17.0,0.46823253960806155,0.36900384234614636
18.0,0.4712219937027709,0.36318626311821295
19.0,0.47262378138079886,0.3618282063315097
20.0,0.4740776184588689,0.36484606114915435
21.0,0.4739474822340232,0.36360161084478565
22.0,0.47449374198432975,0.3584655397910945
23.0,0.47455939517004686,0.3596081785190938
24.0,0.474175273336277,0.3578096470205182
25.0,0.4753718464095676,0.36219608132871356
26.0,0.4759080667588443,0.36517788661506817
