signal_datetime,entry_datetime,exit_datetime,long_symbols,short_symbols,long_return,short_asset_return,gross_return,net_return,equity,drawdown
2025-03-10 00:00:00+00:00,2025-03-11 00:00:00+00:00,2025-03-14 00:00:00+00:00,"XLY,XLE","XLRE,XLV",-0.011144667581219181,-0.026035297679326552,0.007445315049053686,0.007445315049053686,1.0091344535622417,-0.008086149537125609
2025-03-13 00:00:00+00:00,2025-03-14 00:00:00+00:00,2025-03-19 00:00:00+00:00,"XLK,XLY","XLP,XLV",0.005007447988788938,0.013144513625295562,-0.004068532818253312,-0.004068532818253312,1.0050287569198937,-0.012121783590613777
2025-03-18 00:00:00+00:00,2025-03-19 00:00:00+00:00,2025-03-24 00:00:00+00:00,"XLK,XLY","XLV,XLB",0.024023195362374294,-0.0017088785319340771,0.012866036947154186,0.012866036947154186,1.0179594940393775,0.0
2025-03-21 00:00:00+00:00,2025-03-24 00:00:00+00:00,2025-03-27 00:00:00+00:00,"XLK,XLY","XLC,XLV",-0.004680822963120501,-0.005803709462575413,0.0005614432497274557,0.0005614432497274557,1.0185310205258018,0.0
2025-03-26 00:00:00+00:00,2025-03-27 00:00:00+00:00,2025-04-01 00:00:00+00:00,"XLY,XLK","XLB,XLRE",-0.02827657446821863,0.0009328550252646894,-0.01460471474674166,-0.01460471474674166,1.0036556655103148,-0.014604714746741632
2025-03-31 00:00:00+00:00,2025-04-01 00:00:00+00:00,2025-04-04 00:00:00+00:00,"XLY,XLK","XLU,XLV",-0.07208368245797303,-0.011807077419624001,-0.030138302519174515,-0.030138302519174515,0.9734071874380815,-0.04430285595467265
2025-04-03 00:00:00+00:00,2025-04-04 00:00:00+00:00,2025-04-09 00:00:00+00:00,"XLK,XLY","XLRE,XLV",-0.047134555290945235,-0.0902101018457167,0.021537773277385736,0.021537773277385736,0.9943722107477008,-0.02371926754437914
2025-04-08 00:00:00+00:00,2025-04-09 00:00:00+00:00,2025-04-14 00:00:00+00:00,"XLE,XLY","XLC,XLV",0.08565201515148557,0.07229812612122177,0.0066769445151319,0.0066769445151319,1.0010115788262524,-0.0172006952625805
2025-04-11 00:00:00+00:00,2025-04-14 00:00:00+00:00,2025-04-17 00:00:00+00:00,"XLK,XLY","XLU,XLV",-0.04129419253558764,-0.008042791264020077,-0.01662570063578378,-0.01662570063578378,0.9843690599837339,-0.0335404222882012
2025-04-16 00:00:00+00:00,2025-04-17 00:00:00+00:00,2025-04-23 00:00:00+00:00,"XLE,XLY","XLU,XLV",0.03131516729249628,0.014073587730197179,0.008620789781149552,0.008620789781149552,0.9928550987169213,-0.025208777436769303
2025-04-22 00:00:00+00:00,2025-04-23 00:00:00+00:00,2025-04-28 00:00:00+00:00,"XLK,XLE","XLV,XLU",0.022134749330464887,0.0029246449341058245,0.009605052198179531,0.009605052198179531,1.0023915237653263,-0.01584585686172202
2025-04-25 00:00:00+00:00,2025-04-28 00:00:00+00:00,2025-05-01 00:00:00+00:00,"XLK,XLE","XLU,XLV",0.0003284018900627239,0.009345979185787834,-0.004508788647862555,-0.004508788647862555,0.9978719522422596,-0.020283199890050785
2025-04-30 00:00:00+00:00,2025-05-01 00:00:00+00:00,2025-05-06 00:00:00+00:00,"XLK,XLE","XLRE,XLV",0.0010280636198557458,-0.0027921152508323943,0.00191008943534407,0.00191008943534407,0.9997779769160637,-0.018411853180531623
2025-05-05 00:00:00+00:00,2025-05-06 00:00:00+00:00,2025-05-09 00:00:00+00:00,"XLK,XLE","XLRE,XLV",0.026259159584270386,-0.013880381936095199,0.020069770760182792,0.020069770760182792,1.0198432917238482,0.0
2025-05-08 00:00:00+00:00,2025-05-09 00:00:00+00:00,2025-05-14 00:00:00+00:00,"XLK,XLV","XLF,XLI",0.02641756750508134,0.02956166757354095,-0.001572050034229805,-0.001572050034229805,1.0182400470421848,-0.0015720500342296662
2025-05-13 00:00:00+00:00,2025-05-14 00:00:00+00:00,2025-05-19 00:00:00+00:00,"XLK,XLB","XLC,XLI",0.0007081908121661096,0.006895827474635796,-0.0030938183312348433,-0.0030938183312348433,1.0150897973190485,-0.004661004728250817
2025-05-16 00:00:00+00:00,2025-05-19 00:00:00+00:00,2025-05-22 00:00:00+00:00,"XLK,XLV","XLRE,XLU",-0.013369496224428512,-0.015721600018891335,0.0011760518972314116,0.0011760518972314116,1.0162835956010459,-0.0034904344144730537
2025-05-21 00:00:00+00:00,2025-05-22 00:00:00+00:00,2025-05-28 00:00:00+00:00,"XLK,XLV","XLB,XLC",0.012400076051204523,0.010739955357410791,0.0008300603468968659,0.0008300603468968659,1.0171271723149562,-0.0026632713387769735
2025-05-27 00:00:00+00:00,2025-05-28 00:00:00+00:00,2025-06-02 00:00:00+00:00,"XLV,XLK","XLF,XLI",-0.003969440307660443,-0.005886198651913754,0.0009583791721266555,0.0009583791721266555,1.018101965812307,-0.0017074445904310398
2025-05-30 00:00:00+00:00,2025-06-02 00:00:00+00:00,2025-06-05 00:00:00+00:00,"XLK,XLY","XLF,XLP",0.018282018851297654,-0.0013921046211345378,0.009837061736216096,0.009837061736216096,1.0281170977037655,0.0
2025-06-04 00:00:00+00:00,2025-06-05 00:00:00+00:00,2025-06-10 00:00:00+00:00,"XLY,XLU","XLI,XLRE",-0.002235703224242047,0.00448054015377064,-0.0033581216890063437,-0.0033581216890063437,1.024664555379128,-0.00335812168900651
2025-06-09 00:00:00+00:00,2025-06-10 00:00:00+00:00,2025-06-13 00:00:00+00:00,"XLY,XLE","XLRE,XLB",0.014729424300443716,-0.0041695634903417544,0.009449493895392735,0.009449493895392735,1.0343471168400082,0.0
2025-06-12 00:00:00+00:00,2025-06-13 00:00:00+00:00,2025-06-18 00:00:00+00:00,"XLY,XLE","XLK,XLP",0.0038196148846488254,-0.001390800306164841,0.0026052075954068332,0.0026052075954068332,1.037041805805087,0.0
2025-06-17 00:00:00+00:00,2025-06-18 00:00:00+00:00,2025-06-24 00:00:00+00:00,"XLE,XLK","XLF,XLRE",-0.011774831635700311,0.02132651276632691,-0.01655067220101361,-0.01655067220101361,1.0198780668184597,-0.016550672201013694
2025-06-23 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-06-27 00:00:00+00:00,"XLE,XLY","XLRE,XLU",0.004156204745391301,-0.013090691605950555,0.008623448175670928,0.008623448175670928,1.028672932473172,-0.00806994788934079
2025-06-26 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-07-02 00:00:00+00:00,"XLE,XLY","XLK,XLB",0.01110833545064105,0.01257376230377405,-0.0007327134265665003,-0.0007327134265665003,1.0279192100040035,-0.008796748356736939
2025-07-01 00:00:00+00:00,2025-07-02 00:00:00+00:00,2025-07-08 00:00:00+00:00,"XLE,XLY","XLP,XLV",-0.0022294363031727937,-0.007299374929625846,0.002534969313226526,0.002534969313226526,1.0305249536578398,-0.006284078530650938
2025-07-07 00:00:00+00:00,2025-07-08 00:00:00+00:00,2025-07-11 00:00:00+00:00,"XLE,XLK","XLP,XLI",0.013486129199032859,-0.002486847286745031,0.007986488242888945,0.007986488242888945,1.038755229084232,0.0
2025-07-10 00:00:00+00:00,2025-07-11 00:00:00+00:00,2025-07-16 00:00:00+00:00,"XLE,XLK","XLI,XLV",-0.005894103402331263,-0.009049126002349084,0.0015775113000089103,0.0015775113000089103,1.0403938771960557,0.0
2025-07-15 00:00:00+00:00,2025-07-16 00:00:00+00:00,2025-07-21 00:00:00+00:00,"XLE,XLB","XLC,XLK",0.004250633142156346,0.007618727773128553,-0.0016840473154861035,-0.0016840473154861035,1.0386418046801156,-0.0016840473154859925
2025-07-18 00:00:00+00:00,2025-07-21 00:00:00+00:00,2025-07-24 00:00:00+00:00,"XLV,XLE","XLC,XLI",0.019250847172372687,0.01766662171430533,0.0007921127290336782,0.0007921127290336782,1.0394645260745092,-0.0008932685417671893
2025-07-23 00:00:00+00:00,2025-07-24 00:00:00+00:00,2025-07-29 00:00:00+00:00,"XLE,XLRE","XLF,XLI",0.00368490648876324,0.004414413556648511,-0.00036475353394263554,-0.00036475353394263554,1.0390853777152156,-0.001257696252852436
2025-07-28 00:00:00+00:00,2025-07-29 00:00:00+00:00,2025-08-01 00:00:00+00:00,"XLE,XLV","XLK,XLY",-0.01959977295003479,-0.03255344980160507,0.006476838425785142,0.006476838425785142,1.045815365817273,0.0
2025-07-31 00:00:00+00:00,2025-08-01 00:00:00+00:00,2025-08-06 00:00:00+00:00,"XLE,XLV","XLI,XLU",-3.2923800794282254e-05,0.008885454399420678,-0.00445918910010748,-0.00445918910010748,1.0411518773372959,-0.004459189100107452
2025-08-05 00:00:00+00:00,2025-08-06 00:00:00+00:00,2025-08-11 00:00:00+00:00,"XLE,XLV","XLU,XLP",-0.0117729583047807,0.01058290168426429,-0.011177929994522495,-0.011177929994522495,1.029513954538754,-0.015587274591036482
2025-08-08 00:00:00+00:00,2025-08-11 00:00:00+00:00,2025-08-14 00:00:00+00:00,"XLE,XLV","XLK,XLP",0.0134504062336126,0.0012278641654804856,0.006111271034066057,0.006111271034066057,1.0358055933482935,-0.00957126161667865
2025-08-13 00:00:00+00:00,2025-08-14 00:00:00+00:00,2025-08-19 00:00:00+00:00,"XLRE,XLE","XLC,XLP",-0.003707745765404502,-0.001067634389008254,-0.001320055688198124,-0.001320055688198124,1.0344382722829266,-0.010878682706536469
2025-08-18 00:00:00+00:00,2025-08-19 00:00:00+00:00,2025-08-22 00:00:00+00:00,"XLRE,XLE","XLF,XLP",0.021475973706902574,0.008917171302681215,0.006279401202110679,0.006279401202110679,1.0409339252134093,-0.004667593117690605
2025-08-21 00:00:00+00:00,2025-08-22 00:00:00+00:00,2025-08-27 00:00:00+00:00,"XLE,XLK","XLC,XLI",0.017258847226452323,0.006866013118644987,0.005196417053903668,0.005196417053903668,1.046343052014375,0.0
