epoch,train_lambdarank_loss,validation_lambdarank_loss,validation_macro_tail_ndcg_at_2,validation_macro_tail_map_at_2,validation_macro_tail_mrr_at_2,validation_macro_tail_err_at_2,validation_pairwise_accuracy,gradient_norm
1.0,0.7273341417312622,0.7069305181503296,0.40344080823291106,0.1504424778761062,0.2743362831858407,0.4108130530973451,0.5056315366049879,0.2535407841205597
2.0,0.7165879011154175,0.7026880979537964,0.39751965300131137,0.14657079646017698,0.2665929203539823,0.4059734513274336,0.5075623491552694,0.19737881422042847
3.0,0.7129282355308533,0.6994888782501221,0.3965724056756263,0.14601769911504425,0.2743362831858407,0.40770188053097345,0.5041834271922767,0.16470032930374146
4.0,0.7144742012023926,0.6953295469284058,0.4025150111240762,0.1515486725663717,0.2743362831858407,0.4101908185840708,0.5032984714400643,0.15624691545963287
5.0,0.7056591510772705,0.6952806711196899,0.3958349425487826,0.14657079646017698,0.2665929203539823,0.40569690265486724,0.5009654062751407,0.11234620958566666
6.0,0.7094558477401733,0.6937241554260254,0.39933392420100977,0.14823008849557523,0.26991150442477874,0.4088772123893805,0.5016894609814964,0.11143866181373596
7.0,0.7099106311798096,0.6938173770904541,0.3981657378450243,0.14878318584070796,0.27101769911504425,0.4071487831858407,0.5003218020917135,0.11796069890260696
8.0,0.7034056782722473,0.6955043077468872,0.39093096270914857,0.14214601769911506,0.2577433628318584,0.39919800884955753,0.499195494770716,0.1056767925620079
9.0,0.6987478733062744,0.6951659917831421,0.3939292930659534,0.144358407079646,0.26216814159292035,0.40196349557522126,0.5016894609814964,0.08783325552940369
10.0,0.6969934105873108,0.6947023868560791,0.3962116105127649,0.14712389380530974,0.26991150442477874,0.4041758849557522,0.4999195494770716,0.07731018215417862
11.0,0.7005385160446167,0.6951688528060913,0.3928310347762483,0.14878318584070796,0.27101769911504425,0.3996819690265487,0.5000804505229284,0.08004849404096603
12.0,0.7003177404403687,0.694739818572998,0.3954741473859212,0.1504424778761062,0.27654867256637167,0.40383019911504425,0.5030571198712791,0.07038875669240952
13.0,0.695088267326355,0.6943492889404297,0.39706190213958964,0.15210176991150443,0.27986725663716816,0.40389933628318586,0.5038616251005631,0.06309746950864792
