model,pairwise_accuracy,ndcg,sharpe,evidence
LambdaMART,0.49752066115702476,0.4169380166292025,0.7063847610638798,test run
LambdaRank,0.5057851239669422,0.39570348181481435,-0.007307881081613589,test run
